Day,Exercise,Minutes,Calories Burned
2017-01-28,"Running (Garmin)",44.31666666666667,-404.00
2017-04-29,"Running (Garmin)",59.78333333333333,-819.00
2016-12-01,"Daily Activity (Garmin)",45.0,-135.00
2017-03-10,"Cycling (Garmin)",87.05,-691.00
2017-11-29,"Indoor cycling (Garmin)",64.45,-626.00
2017-05-14,"Indoor cardio (Garmin)",6.216666666666667,-10.00
2017-03-21,"Running (Garmin)",4.233333333333333,-37.00
2017-03-29,"Indoor cardio (Garmin)",6.183333333333334,-10.00
2017-02-01,"Indoor cardio (Garmin)",6.066666666666666,-10.00
2017-11-16,"Treadmill running (Garmin)",11.683333333333334,-154.00
2017-04-29,"Cycling (Garmin)",50.13333333333333,-364.00
2017-03-21,"Running (Garmin)",47.96666666666667,-602.00
2017-03-29,"Running (Garmin)",8.416666666666666,-110.00
2017-02-01,"Running (Garmin)",7.3,-108.00
2017-05-14,"Cycling (Garmin)",28.083333333333332,-362.00
2017-04-10,"Indoor cardio (Garmin)",6.266666666666667,-12.00
2017-03-29,"Paddling (Garmin)",69.7,-749.00
2017-11-16,"Treadmill running (Garmin)",16.5,-254.00
2017-02-01,"Running (Garmin)",63.4,-475.00
2017-05-04,"Open water swimming (Garmin)",50.7,-493.00
2017-03-08,"Indoor cardio (Garmin)",6.383333333333334,-9.00
2017-05-26,"Indoor cardio (Garmin)",6.166666666666667,-9.00
2017-03-16,"Indoor cardio (Garmin)",6.216666666666667,-10.00
2017-09-10,"Open water swimming (Garmin)",39.416666666666664,-566.00
2017-03-29,"Running (Garmin)",7.133333333333334,-104.00
2017-03-08,"Running (Garmin)",63.1,-851.00
