Datetime,Calories,CHO,FAT,PRO
2019-05-24T00:00:00Z,1616.6,210,48,69.3
2019-05-25T00:00:00Z,2914.1,114.5,173.70000000000002,175.5
2019-05-26T00:00:00Z,2194.1,200.39999999999998,96.60000000000001,109.60000000000001
2019-05-27T00:00:00Z,2596.7,244.9,112.9,136.9
2019-05-28T00:00:00Z,2037.6,186.4,102.6,91.4
2019-05-29T00:00:00Z,2708.8999999999996,252.3,132.2,110.3
2019-05-30T00:00:00Z,2999.8999999999996,148.3,180.3,182.4
2019-05-31T00:00:00Z,2792.1,272.9,139.4,99.7
2019-06-01T00:00:00Z,2657.1,236.39999999999998,124.6,125.9
2019-06-02T00:00:00Z,3499.5,224.8,186.7,180.5
2019-06-03T00:00:00Z,2251,294,81,91
2019-06-04T00:00:00Z,2646.1,275.1,133.9,95.5
2019-06-05T00:00:00Z,2799.5,241,133.3,107.7
2019-06-09T00:00:00Z,170,14,9,9
2019-06-10T00:00:00Z,4192.1,347.5,206.2,136.8
2019-06-11T00:00:00Z,2125.1,199.20000000000002,125.5,83.30000000000001
2019-06-12T00:00:00Z,2252.2,260.9,112.3,62.6
2019-06-13T00:00:00Z,810,85,35,41
2019-06-24T00:00:00Z,2225.4,205.3,94,110.19999999999999
2019-06-25T00:00:00Z,2373.3,249.8,93.3,117.5
2019-06-26T00:00:00Z,2837,240.50000000000003,126,116.5
2019-06-27T00:00:00Z,3123.3,155.8,143.5,159.39999999999998
2019-06-28T00:00:00Z,2551.5,363.3,94.7,68.5
2019-07-02T00:00:00Z,1130,148.8,46.2,29.1
2020-07-23T00:00:00Z,170,14,9,9
2020-08-04T00:00:00Z,2017.6,181.3,94.8,123.5
2020-08-05T00:00:00Z,2410.1000000000004,331.70000000000005,76,107.8
2020-08-06T00:00:00Z,1772.9,110.1,59.5,123.3
2020-08-07T00:00:00Z,3166.8,299,182.3,95.6
2020-08-08T00:00:00Z,3727.4,523.8,107.4,115.3
2020-08-09T00:00:00Z,2078.2,203,76.4,72.8
2020-08-10T00:00:00Z,2335.3,201.9,98.4,105.89999999999999
2020-08-11T00:00:00Z,2317.3999999999996,163.60000000000002,111.1,118.5
2020-08-12T00:00:00Z,2374.5,159.3,140.7,120.4
2020-08-13T00:00:00Z,2918,288.29999999999995,112.5,87.4
2020-08-14T00:00:00Z,1055.3,119.2,38.5,47.199999999999996
2020-08-16T00:00:00Z,3347,309.4,162.29999999999998,99.1
2020-08-17T00:00:00Z,2917.8,263.3,130.2,118.4
2020-08-18T00:00:00Z,2574.5,282.9,111.19999999999999,77.4
